mode,overlay,protocol,depth,fanout,ctas,metric,value,res_span_us,gemm_span_us,concurrent_gemm_tflops,gemm_slowdown,rounds,checksum_ok,payload_granularity
c,isolated,False,1,single,64,GBps,49.26456731566072,10897.710496811444,0.0,,,512,True,fine
c,isolated,True,1,single,1,GBps,11.30923174878433,47483.21482853912,0.0,,,32768,True,fine
c,isolated,True,1,single,2,GBps,18.71610408740817,28685.058886119474,0.0,,,16384,True,fine
c,isolated,True,1,single,4,GBps,33.60767203584983,16001.529390096206,0.0,,,8192,True,fine
c,isolated,True,1,single,8,GBps,49.08583340050949,10937.485266940677,0.0,,,4096,True,fine
c,isolated,True,1,single,16,GBps,48.150865320707936,11149.944903703596,0.0,,,2048,True,fine
c,isolated,True,1,single,32,GBps,48.45965080159395,11078.7273105027,0.0,,,1024,True,fine
c,isolated,True,1,single,64,GBps,48.251806432215645,11126.508169350915,0.0,,,512,True,fine
c,concurrent,False,4,single,1,GBps,22.398366117852575,23969.257062816145,24155.653045696796,585.8821377068864,0.9806264719430823,32768,True,fine
c,concurrent,False,4,single,2,GBps,43.223287277624074,12420.872635501333,12639.638884417336,570.0086018421787,0.9764677378642685,16384,True,fine
c,concurrent,False,4,single,4,GBps,50.240652412962525,10685.992814419476,10877.537359049906,482.2436066634824,1.1671256998795265,8192,True,fine
c,concurrent,False,4,single,8,GBps,49.71945073329807,10798.01288481748,11006.517102670396,264.7195602247882,2.1242600937588847,4096,True,fine
c,concurrent,False,4,single,16,GBps,49.353276845120945,10878.164009701046,11072.064760779767,161.28495317790157,3.446164884224033,2048,True,fine
c,concurrent,False,4,single,32,GBps,49.18010185603592,10916.550121987353,11132.07784033826,132.17981912169182,4.016895896635148,1024,True,fine
c,concurrent,False,4,single,64,GBps,48.92804207454587,10972.662927893141,11195.765599315044,113.65775762367893,4.412289445832256,512,True,fine
c,concurrent,True,4,single,1,GBps,10.821283776322895,49612.66397881075,49834.28775469596,589.4501386155889,0.9746906413888503,32768,True,fine
c,concurrent,True,4,single,2,GBps,17.90071105964573,29991.605440928077,30222.368289909526,556.8100274411471,0.9996138405801913,16384,True,fine
c,concurrent,True,4,single,4,GBps,34.829811914054915,15414.287545103958,15611.988305731198,512.8382612281873,1.0974978847943424,8192,True,fine
c,concurrent,True,4,single,8,GBps,48.674432909084366,11029.858586124104,11241.35568748687,299.46704028808847,1.8777799295774007,4096,True,fine
c,concurrent,True,4,single,16,GBps,48.13073270293344,11154.577105316834,11359.070759002445,167.30549511416444,3.322153534862259,2048,True,fine
c,concurrent,True,4,single,32,GBps,48.404156613360854,11091.521010196398,11288.138918498467,104.14267999445315,5.098318701575373,1024,True,fine
c,concurrent,True,4,single,64,GBps,48.37786278183846,11097.451631958798,11275.320152778724,76.19628706425338,6.581566421694948,512,True,fine
c,isolated,False,4,single,1,GBps,29.288262242288926,18330.58431897454,0.0,,,32768,True,fine
c,isolated,False,4,single,2,GBps,57.84181132750017,9281.723850469309,0.0,,,16384,True,fine
c,isolated,False,4,single,4,GBps,51.08001749854576,10510.39026235408,0.0,,,8192,True,fine
c,isolated,False,4,single,8,GBps,49.7904333853602,10782.662450467125,0.0,,,4096,True,fine
c,isolated,False,4,single,16,GBps,49.518675151727464,10841.90850962862,0.0,,,2048,True,fine
c,isolated,False,4,single,32,GBps,49.4502976396793,10856.782689484107,0.0,,,1024,True,fine
c,isolated,False,4,single,64,GBps,49.36641077124457,10875.261363884962,0.0,,,512,True,fine
c,isolated,True,4,single,1,GBps,13.52172967485344,39704.765731695086,0.0,,,32768,True,fine
c,isolated,True,4,single,2,GBps,21.480032459400668,24993.961220767473,0.0,,,16384,True,fine
c,isolated,True,4,single,4,GBps,41.89901180844136,12814.15357095235,0.0,,,8192,True,fine
c,isolated,True,4,single,8,GBps,49.153611351086326,10922.340374003898,0.0,,,4096,True,fine
c,isolated,True,4,single,16,GBps,48.258306611094255,11124.98916817255,0.0,,,2048,True,fine
c,isolated,True,4,single,32,GBps,48.44624898030756,11082.086157992817,0.0,,,1024,True,fine
